Designator,Mid X,Mid Y,Rotation,Layer
C1,91.68875,-75.74625,180.0,top
C2,91.66875,-76.99625,0.0,top
C3,91.51875,-78.74625,0.0,top
J1,79.535,-87.635,180.0,top
R1,78.76875,-75.55625,270.0,top
SW1,66.675,-102.685,0.0,top
SW2,85.725,-102.685,0.0,top
SW3,104.775,-102.685,0.0,top
U1,66.31875,-83.02625,90.0,top
U2,85.76875,-76.74625,270.0,top
